task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,BRAZIL,,55.0,55.0,1.251,0.005,1,1,1,DRL
2,EUROPE,falha_calibracao_sensor_termico,60.0,60.0,0.606,0.005,,0,1,DRL
3,EUROPE,,65.0,65.0,0.55,0.005,2,1,1,DRL
4,USA,,70.0,70.0,0.529,0.005,15,1,1,DRL
5,USA,,80.0,80.0,0.541,0.005,15,1,1,DRL
6,USA,,85.0,85.0,0.536,0.005,15,1,1,DRL
7,EUROPE,,95.0,95.0,0.617,0.005,2,1,1,DRL
8,EUROPE,,110.0,110.0,0.54,0.005,2,1,1,DRL
9,EUROPE,,120.0,120.0,0.625,0.005,2,1,1,DRL
10,EUROPE,,130.0,130.0,0.748,0.005,2,1,1,DRL
11,EUROPE,restricao_residencia_dados_ue,155.0,155.0,0.659,0.005,,0,0,DRL
12,USA,,160.0,160.0,0.549,0.005,15,1,1,DRL
13,EUROPE,restricao_lgpd_brasil,185.0,185.0,0.581,0.005,,0,0,DRL
14,EUROPE,restricao_residencia_dados_ue,200.0,200.0,0.569,0.005,,0,0,DRL
15,BRAZIL,,210.0,210.0,0.569,0.005,1,1,1,DRL
16,BRAZIL,,250.0,250.0,0.616,0.005,1,1,1,DRL
17,USA,,255.0,255.0,0.552,0.005,15,1,1,DRL
18,BRAZIL,,260.0,260.0,0.568,0.005,1,1,1,DRL
19,USA,,275.0,275.0,0.558,0.005,15,1,1,DRL
20,EUROPE,,310.0,310.0,0.598,0.005,2,1,1,DRL
21,BRAZIL,,340.0,340.0,0.608,0.005,1,1,1,DRL
22,USA,restricao_itar_eua,360.0,360.0,0.631,0.005,,0,0,DRL
23,EUROPE,,400.0,400.0,0.602,0.005,2,1,1,DRL
24,EUROPE,,405.0,405.0,0.553,0.005,2,1,1,DRL
25,USA,,410.0,410.0,0.561,0.005,15,1,1,DRL
26,BRAZIL,restricao_residencia_dados_ue,470.0,470.0,0.575,0.005,,0,0,DRL
27,USA,,485.0,485.0,0.565,0.005,15,1,1,DRL
28,EUROPE,,500.0,500.0,0.559,0.005,2,1,1,DRL
29,BRAZIL,,505.0,505.0,0.557,0.005,1,1,1,DRL
30,USA,,525.0,525.0,0.576,0.005,15,1,1,DRL
31,EUROPE,,540.0,540.0,0.587,0.005,2,1,1,DRL
32,EUROPE,,550.0,550.0,0.566,0.005,2,1,1,DRL
33,EUROPE,falha_calibracao_sensor_termico,585.0,585.0,0.585,0.005,,0,1,DRL
34,USA,,625.0,625.0,0.628,0.005,15,1,1,DRL
35,BRAZIL,,630.0,630.0,0.532,0.005,1,1,1,DRL
36,BRAZIL,,645.0,645.0,0.534,0.005,1,1,1,DRL
37,USA,restricao_itar_eua,660.0,660.0,0.534,0.005,,0,0,DRL
38,USA,restricao_hipaa_eua,680.0,680.0,0.572,0.005,,0,0,DRL
39,USA,,700.0,700.0,0.578,0.005,15,1,1,DRL
40,EUROPE,,770.0,770.0,0.618,0.005,2,1,1,DRL
41,EUROPE,,805.0,805.0,0.605,0.005,2,1,1,DRL
42,USA,,815.0,815.0,0.556,0.005,15,1,1,DRL
43,USA,,830.0,830.0,0.569,0.005,15,1,1,DRL
44,USA,,870.0,870.0,0.603,0.005,15,1,1,DRL
45,EUROPE,,900.0,900.0,0.61,0.005,2,1,1,DRL
46,BRAZIL,,905.0,905.0,0.526,0.005,1,1,1,DRL
47,BRAZIL,,920.0,920.0,0.538,0.005,1,1,1,DRL
48,USA,,980.0,980.0,0.614,0.005,15,1,1,DRL
49,EUROPE,,1065.0,1065.0,0.61,0.005,2,1,1,DRL
50,EUROPE,,1095.0,1095.0,0.579,0.005,2,1,1,DRL
51,USA,,1105.0,1105.0,0.543,0.005,15,1,1,DRL
52,BRAZIL,,1155.0,1155.0,0.598,0.005,1,1,1,DRL
53,USA,,1180.0,1180.0,0.553,0.005,15,1,1,DRL
54,EUROPE,,1190.0,1190.0,0.566,0.005,2,1,1,DRL
55,BRAZIL,,1195.0,1195.0,0.541,0.005,1,1,1,DRL
